lng,lat
115.96621,28.671406
115.966324,28.67144
115.96644,28.671474
115.966545,28.671515
115.96666,28.67156
115.96677,28.671608
115.96688,28.671661
115.96699,28.67172
115.96709,28.671785
115.967186,28.67186
115.967285,28.671932
115.967384,28.672003
115.96748,28.672075
115.96758,28.672152
115.96768,28.672222
115.96779,28.67229
115.967896,28.672363
115.968,28.672436
115.96812,28.6725
115.96822,28.672565
115.96833,28.672638
115.96844,28.672707
115.96854,28.672771
115.96864,28.672834
115.96875,28.672897
115.96886,28.67296
115.96896,28.673018
115.96906,28.673075
115.96917,28.673128
115.96927,28.673185
115.96936,28.673246
115.96945,28.673302
115.96953,28.673353
115.969604,28.6734
115.96968,28.673445
115.96975,28.673487
115.96981,28.673515
115.96987,28.673534
115.96992,28.67353
115.969955,28.673512
115.96998,28.673477
115.97,28.673443
115.97002,28.67341
115.97003,28.67337
115.97006,28.673328
115.9701,28.673283
115.970146,28.673233
115.9702,28.67317
115.97027,28.673105
115.97033,28.673035
115.9704,28.672962
115.970474,28.67289
115.97056,28.672815
115.970634,28.67274
115.97072,28.672655
115.97081,28.672571
115.970894,28.672485
115.970985,28.6724
115.97108,28.672312
115.97116,28.672222
115.97125,28.67213
115.971344,28.672047
115.97144,28.67196
115.971535,28.67188
115.971634,28.671804
115.97173,28.671724
115.97183,28.671644
115.971924,28.671568
115.97202,28.671495
115.972115,28.671427
115.97221,28.671364
115.972305,28.671303
115.972404,28.671246
115.9725,28.671188
115.97261,28.671135
115.97271,28.671085
115.97281,28.671041
115.97291,28.670998
115.973,28.670958
115.9731,28.670918
115.97318,28.670877
115.97328,28.670843
115.97338,28.670815
115.97349,28.670792
115.973595,28.670767
115.9737,28.67074
115.97381,28.670715
115.97393,28.67069
115.974045,28.670666
115.97417,28.670647
115.9743,28.670631
115.97443,28.670616
115.97455,28.670603
115.97468,28.670591
115.9748,28.670584
115.974915,28.670582
115.97504,28.670586
115.97514,28.67059
115.97525,28.670593
115.97536,28.670593
115.97546,28.670591
115.975555,28.670586
115.975655,28.670586
115.97575,28.670588
115.97586,28.67059
115.97596,28.670593
115.97606,28.670593
115.97616,28.67059
115.97625,28.67059
115.97635,28.670595
115.97645,28.6706
115.976555,28.670609
115.97666,28.670614
115.97677,28.670622
115.97687,28.670631
115.976974,28.670645
115.97707,28.670664
115.97727,28.670694
115.977455,28.670725
115.97755,28.67074
115.97764,28.670757
115.97773,28.670778
115.97782,28.670795
115.977905,28.67081
115.97799,28.670826
115.97809,28.67085
115.97818,28.670877
115.97827,28.670908
115.97835,28.670935
115.97842,28.670961
115.97848,28.670986
115.97853,28.671011
115.978584,28.67103
115.97862,28.671043
115.97865,28.671053
115.97867,28.671059
115.97868,28.67106
115.97869,28.67106
115.97868,28.671062
115.97868,28.671064
115.97868,28.671066
115.97868,28.67107
115.97868,28.671068
115.97872,28.671076
115.978745,28.671083
115.97877,28.671093
115.97879,28.671108
115.97882,28.671124
115.97885,28.671139
115.97888,28.671152
115.97891,28.671173
115.97895,28.671192
115.97899,28.671215
115.979034,28.67124
115.97907,28.671263
115.97911,28.671286
115.97916,28.671309
115.979195,28.67133
115.97923,28.671352
115.97927,28.671375
115.97931,28.671396
115.97935,28.671415
115.979385,28.671436
115.97943,28.671461
115.97948,28.671486
115.97954,28.671509
115.9796,28.67152
115.97967,28.671532
115.97974,28.671535
115.97981,28.671535
115.97988,28.671537
115.97995,28.671537
115.98003,28.671537
115.980095,28.671549
115.98017,28.671547
115.98025,28.67154
115.98034,28.671537
115.98043,28.671543
115.98053,28.671545
115.98064,28.671545
115.98075,28.671545
115.98086,28.671547
115.98097,28.671549
115.98108,28.671547
115.98118,28.671545
115.98128,28.671545
115.98138,28.67155
115.981476,28.67155
115.98156,28.671545
115.98164,28.67154
115.98173,28.67154
115.98181,28.671537
115.981895,28.671535
115.98198,28.671535
115.98207,28.671537
115.98216,28.671535
115.98226,28.671534
115.98236,28.67153
115.98246,28.67153
115.98256,28.671532
115.982666,28.671532
115.98277,28.671534
115.98288,28.671534
115.98299,28.671532
115.98311,28.671526
115.98322,28.671518
115.98334,28.67152
115.98345,28.671518
115.983574,28.671513
115.98369,28.67151
115.98381,28.671507
115.983925,28.6715
115.98415,28.671488
115.98426,28.671488
115.98437,28.671486
115.98447,28.671482
115.984566,28.671482
115.98473,28.67148
115.9848,28.67148
115.98487,28.67148
115.98493,28.671478
115.98499,28.67148
115.98504,28.67148
115.985085,28.671478
115.985115,28.67148
115.98514,28.671486
115.98515,28.671486
115.98517,28.671486
115.98517,28.671488
115.985176,28.671488
115.98519,28.671492
115.98522,28.671494
115.985245,28.671495
115.98527,28.671497
115.98531,28.6715
115.98536,28.671501
115.98541,28.671501
115.98547,28.671503
115.985535,28.671503
115.98559,28.671503
115.98566,28.671507
115.98572,28.671507
115.985794,28.671507
115.98587,28.671503
115.98596,28.671494
115.98606,28.67148
115.98615,28.671465
115.98625,28.67145
115.98635,28.67143
115.98646,28.671413
115.98657,28.671394
115.98669,28.67138
115.9868,28.671368
